a	a˧˧
rướn	ʐɯəŋ˦˥
rướn cổ	ʐɯəŋ˦˥ko˨˩˦
rướn vai	ʐɯəŋ˦˥jaj˧˧
rười rượi	ʐɯəj˧˨ʐɯəj˨˩˨
rườm	ʐɯm˧˨
rườm lời	ʐɯm˧˨lɤj˧˨
rườm rà	ʐɯm˧˨ʐa˧˨
rườm tai	ʐɯm˧˨taj˧˧
rườn rượt	ʐɯəŋ˧˨ʐɯək˨˩˨
rường	ʐɯəŋ˧˨
rường cột	ʐɯəŋ˧˨kok͡p˨˩˨
rường mối	ʐɯəŋ˧˨moj˦˥
rưởi	ʐɯəj˨˩˦
rưỡi	ʐɯəj˨˩˦
rượi	ʐɯəj˨˩˨
rượn	ʐɯəŋ˨˩˨
rượn cái	ʐɯəŋ˨˩˨kaj˦˥
rượn đực	ʐɯəŋ˨˩˨dɯk˨˩˨
rượng	ʐɯəŋ˨˩˨
rượt	ʐɯək˨˩˨
rượu	ʐɯəw˨˩˨
rượu bia	ʐɯəw˨˩˨biə˧˧
rượu bào	ʐɯəw˨˩˨baw˧˨
rượu chát	ʐɯəw˨˩˨cat˦˥
rượu chè	ʐɯəw˨˩˨cɛ˧˨
rượu chổi	ʐɯəw˨˩˨coj˨˩˦
rượu cúc	ʐɯəw˨˩˨kuk͡p˦˥
rượu cần	ʐɯəw˨˩˨kɤ̆ŋ˧˨
rượu cẩm	ʐɯəw˨˩˨kɤ̆m˨˩˦
rượu cốt	ʐɯəw˨˩˨kok͡p˦˥
rượu cồn	ʐɯəw˨˩˨koŋ͡m˧˨
rượu cổ be, chè đáy ấm	ʐɯəw˨˩˨ko˨˩˦bɛ˧˧cɛ˧˨dăj˦˥ɤ̆m˦˥
rượu khai vị	ʐɯəw˨˩˨xaj˧˧ji˨˩˨
rượu lê	ʐɯəw˨˩˨le˧˧
rượu lậu	ʐɯəw˨˩˨lɤ̆w˨˩˨
rượu lễ	ʐɯəw˨˩˨le˨˩˦
rượu lỗ	ʐɯəw˨˩˨lo˨˩˦
rượu mùi	ʐɯəw˨˩˨muj˧˨
rượu mơ	ʐɯəw˨˩˨mɤ˧˧
rượu mạnh	ʐɯəw˨˩˨man˨˩˨
rượu ngang	ʐɯəw˨˩˨ŋaŋ˧˧
rượu ngon chẳng nệ be sành	ʐɯəw˨˩˨ŋɔŋ͡m˧˧căŋ˨˩˦ne˨˩˨bɛ˧˧ʂan˧˨
rượu ngũ gia bì	ʐɯəw˨˩˨ŋu˨˩˦ja˧˧bi˧˨
rượu ngọn	ʐɯəw˨˩˨ŋɔŋ͡m˨˩˨
rượu ngọt	ʐɯəw˨˩˨ŋɔk͡p˨˩˨
rượu nho	ʐɯəw˨˩˨ɲɔ˧˧
rượu nếp	ʐɯəw˨˩˨nep˦˥
rượu rắn	ʐɯəw˨˩˨ʐăŋ˦˥
rượu sớm cờ trưa	ʐɯəw˨˩˨ʂɤm˦˥kɤ˧˨ʈɯə˧˧
rượu sớm trà trưa	ʐɯəw˨˩˨ʂɤm˦˥ʈa˧˨ʈɯə˧˧
rượu thuốc	ʐɯəw˨˩˨tʰuək˦˥
rượu trên be, chè dưới ấm	ʐɯəw˨˩˨ʈen˧˧bɛ˧˧cɛ˧˨jɯəj˦˥ɤ̆m˦˥
rượu tăm	ʐɯəw˨˩˨tăm˧˧
rượu tắc kè	ʐɯəw˨˩˨tăk˦˥kɛ˧˨
rượu vang	ʐɯəw˨˩˨jaŋ˧˧
rượu vào lời ra	ʐɯəw˨˩˨jaw˧˨lɤj˧˨ʐa˧˧
rượu đào	ʐɯəw˨˩˨daw˧˨
rượu đế	ʐɯəw˨˩˨de˦˥
rạ	ʐa˨˩˨
rạc	ʐak˨˩˨
rạc cẳng	ʐak˨˩˨kăŋ˨˩˦
rạc người	ʐak˨˩˨ŋɯəj˧˨
rạc rài	ʐak˨˩˨ʐaj˧˨
rạc rời	ʐak˨˩˨ʐɤj˧˨
rạch	ʐat˨˩˨
rạch giá	ʐat˨˩˨ja˦˥
rạch ròi	ʐat˨˩˨ʐɔj˧˨
rạch sỏi	ʐat˨˩˨ʂɔj˨˩˦
rạch đôi sơn hà	ʐat˨˩˨doj˧˧ʂɤŋ˧˧ha˧˨
rạm	ʐam˨˩˨
rạn	ʐaŋ˨˩˨
rạn chân chim	ʐaŋ˨˩˨cɤ̆ŋ˧˧cim˧˧
rạn nứt	ʐaŋ˨˩˨nɯk˦˥
rạn vỡ	ʐaŋ˨˩˨jɤ˨˩˦
rạng	ʐaŋ˨˩˨
rạng danh	ʐaŋ˨˩˨jan˧˧
rạng mai	ʐaŋ˨˩˨maj˧˧
rạng ngày	ʐaŋ˨˩˨ŋăj˧˨
rạng rỡ	ʐaŋ˨˩˨ʐɤ˨˩˦
rạng soi	ʐaŋ˨˩˨ʂɔj˧˧
rạng sáng	ʐaŋ˨˩˨ʂaŋ˦˥
rạng đông	ʐaŋ˨˩˨doŋ͡m˧˧
rạo	ʐaw˨˩˨
rạo rạo	ʐaw˨˩˨ʐaw˨˩˨
rạo rực	ʐaw˨˩˨ʐɯk˨˩˨
rạp	ʐap˨˩˨
rạp chiếu bóng	ʐap˨˩˨ciəw˦˥bɔŋ͡m˦˥
rạp hát	ʐap˨˩˨hat˦˥
rạp xiếc	ʐap˨˩˨siək˦˥
rạt	ʐat˨˩˨
rả rích	ʐa˨˩˦ʐit˦˥
rải	ʐaj˨˩˦
rải mành mành	ʐaj˨˩˦man˧˨man˧˨
rải rác	ʐaj˨˩˦ʐak˦˥
rải rắc	ʐaj˨˩˦ʐăk˦˥
rải thảm	ʐaj˨˩˦tʰam˨˩˦
rảnh	ʐan˨˩˦
rảnh mắt	ʐan˨˩˦măk˦˥
rảnh nợ	ʐan˨˩˦nɤ˨˩˨
rảnh rang	ʐan˨˩˦ʐaŋ˧˧
rảnh rỗi	ʐan˨˩˦ʐoj˨˩˦
rảnh tay	ʐan˨˩˦tăj˧˧
rảnh thân	ʐan˨˩˦tʰɤ̆ŋ˧˧
rảnh việc	ʐan˨˩˦jiək˨˩˨
rảo	ʐaw˨˩˦
rảo bước	ʐaw˨˩˦bɯək˦˥
rảo cẳng	ʐaw˨˩˦kăŋ˨˩˦
rảy	ʐăj˨˩˦
rấm	ʐɤ̆m˦˥
rấm bếp	ʐɤ̆m˦˥bep˦˥
rấm rứt	ʐɤ̆m˦˥ʐɯk˦˥
rấm vợ	ʐɤ̆m˦˥jɤ˨˩˨
rấn	ʐɤ̆ŋ˦˥
rấn bước	ʐɤ̆ŋ˦˥bɯək˦˥
rấn sức	ʐɤ̆ŋ˦˥ʂɯk˦˥
rấp	ʐɤ̆p˦˥
rấp thảm quạt sầu	ʐɤ̆p˦˥tʰam˨˩˦wat˨˩˨ʂɤ̆w˧˨
rất	ʐɤ̆k˦˥
rất chi là	ʐɤ̆k˦˥ci˧˧la˧˨
rất mực	ʐɤ̆k˦˥mɯk˨˩˨
rất đỗi	ʐɤ̆k˦˥doj˨˩˦
rầm	ʐɤ̆m˧˨
rầm chìa	ʐɤ̆m˧˨ciə˧˨
rầm rì	ʐɤ̆m˧˨ʐi˧˨
rầm rĩ	ʐɤ̆m˧˨ʐi˨˩˦
rầm rầm	ʐɤ̆m˧˨ʐɤ̆m˧˨
rầm rập	ʐɤ̆m˧˨ʐɤ̆p˨˩˨
rầm rộ	ʐɤ̆m˧˨ʐo˨˩˨
rần	ʐɤ̆ŋ˧˨
rần rần	ʐɤ̆ŋ˧˨ʐɤ̆ŋ˧˨
rần rần rộ rộ	ʐɤ̆ŋ˧˨ʐɤ̆ŋ˧˨ʐo˨˩˨ʐo˨˩˨
rần rật	ʐɤ̆ŋ˧˨ʐɤ̆k˨˩˨
rần rộ	ʐɤ̆ŋ˧˨ʐo˨˩˨
rầu	ʐɤ̆w˧˨
rầu gan nát ruột	ʐɤ̆w˧˨ɣaŋ˧˧nat˦˥ʐuək˨˩˨
rầu lòng	ʐɤ̆w˧˨lɔŋ͡m˧˨
rầu rĩ	ʐɤ̆w˧˨ʐi˨˩˦
rầu rĩ như đĩ về già	ʐɤ̆w˧˨ʐi˨˩˦ɲɯ˧˧di˨˩˦je˧˨ja˧˨
rầu rầu	ʐɤ̆w˧˨ʐɤ̆w˧˨
rầy	ʐɤ̆j˧˨
rầy chuyện	ʐɤ̆j˧˨cwiəŋ˨˩˨
rầy la	ʐɤ̆j˧˨la˧˧
rầy mặt	ʐɤ̆j˧˨măk˨˩˨
rầy nâu	ʐɤ̆j˧˨nɤ̆w˧˧
rầy rà	ʐɤ̆j˧˨ʐa˧˨
rầy rật	ʐɤ̆j˧˨ʐɤ̆k˨˩˨
rầy vằn	ʐɤ̆j˧˨jăŋ˧˨
rầy xanh	ʐɤ̆j˧˨san˧˧
rẩy	ʐɤ̆j˨˩˦
rẫy	ʐɤ̆j˨˩˦
rẫy chết	ʐɤ̆j˨˩˦cet˦˥
rẫy ruồng	ʐɤ̆j˨˩˦ʐuəŋ˧˨
rậm	ʐɤ̆m˨˩˨
rậm lá	ʐɤ̆m˨˩˨la˦˥
rậm lời	ʐɤ̆m˨˩˨lɤj˧˨
rậm người hơn rậm cỏ	ʐɤ̆m˨˩˨ŋɯəj˧˨hɤŋ˧˧ʐɤ̆m˨˩˨kɔ˨˩˦
rậm người hơn rậm của	ʐɤ̆m˨˩˨ŋɯəj˧˨hɤŋ˧˧ʐɤ̆m˨˩˨kuə˨˩˦
rậm râu	ʐɤ̆m˨˩˨ʐɤ̆w˧˧
rậm râu sâu mắt	ʐɤ̆m˨˩˨ʐɤ̆w˧˧ʂɤ̆w˧˧măk˦˥
rậm rì	ʐɤ̆m˨˩˨ʐi˧˨
rậm rạp	ʐɤ̆m˨˩˨ʐap˨˩˨
rậm rật	ʐɤ̆m˨˩˨ʐɤ̆k˨˩˨
rậm rịch	ʐɤ̆m˨˩˨ʐit˨˩˨
rậm rịt	ʐɤ̆m˨˩˨ʐit˨˩˨
rận	ʐɤ̆ŋ˨˩˨
rận chim	ʐɤ̆ŋ˨˩˨cim˧˧
rận chó	ʐɤ̆ŋ˨˩˨cɔ˦˥
rận cá	ʐɤ̆ŋ˨˩˨ka˦˥
rận gà	ʐɤ̆ŋ˨˩˨ɣa˧˨
rận mu	ʐɤ̆ŋ˨˩˨mu˧˧
rận nước	ʐɤ̆ŋ˨˩˨nɯək˦˥
rập	ʐɤ̆p˨˩˨
rập khuôn	ʐɤ̆p˨˩˨xuəŋ˧˧
rập nổi	ʐɤ̆p˨˩˨noj˨˩˦
rập ràng	ʐɤ̆p˨˩˨ʐaŋ˧˨
rập rình	ʐɤ̆p˨˩˨ʐin˧˨
rập rềnh	ʐɤ̆p˨˩˨ʐen˧˨
rập rờn	ʐɤ̆p˨˩˨ʐɤŋ˧˨
rập đầu	ʐɤ̆p˨˩˨dɤ̆w˧˨
rắc	ʐăk˦˥
rắc lây	ʐăk˦˥lɤ̆j˧˧
rắc rắc	ʐăk˦˥ʐăk˦˥
rắc rối	ʐăk˦˥ʐoj˦˥
rắc rối tơ	ʐăk˦˥ʐoj˦˥tɤ˧˧
rắc rối tơ vò	ʐăk˦˥ʐoj˦˥tɤ˧˧jɔ˧˨
rắc-co	ʐăk˦˥-kɔ˧˧
rắm	ʐăm˦˥
rắm ai vừa mũi người ấy	ʐăm˦˥aj˧˧jɯə˧˨muj˨˩˦ŋɯəj˧˨ɤ̆j˦˥
rắm rít	ʐăm˦˥ʐit˦˥
rắn	ʐăŋ˦˥
rắn chắc	ʐăŋ˦˥căk˦˥
rắn câng	ʐăŋ˦˥kɤ̆ŋ˧˧
rắn cạp nia	ʐăŋ˦˥kap˨˩˨niə˧˧
rắn cạp nong	ʐăŋ˦˥kap˨˩˨nɔŋ͡m˧˧
rắn cấc	ʐăŋ˦˥kɤ̆k˦˥
rắn cặp nong	ʐăŋ˦˥kăp˨˩˨nɔŋ͡m˧˧
rắn dọc dưa	ʐăŋ˦˥jɔk͡p˨˩˨jɯə˧˧
rắn giun	ʐăŋ˦˥juŋ͡m˧˧
rắn già rắn lột, người già người chột	ʐăŋ˦˥ja˧˨ʐăŋ˦˥lok͡p˨˩˨ŋɯəj˧˨ja˧˨ŋɯəj˧˨cok͡p˨˩˨
rắn già rắn lột, người già người tuột vào săng	ʐăŋ˦˥ja˧˨ʐăŋ˦˥lok͡p˨˩˨ŋɯəj˧˨ja˧˨ŋɯəj˧˨tuək˨˩˨jaw˧˨ʂăŋ˧˧
rắn già rắn lột, người già người tọt vào săng	ʐăŋ˦˥ja˧˨ʐăŋ˦˥lok͡p˨˩˨ŋɯəj˧˨ja˧˨ŋɯəj˧˨tɔk͡p˨˩˨jaw˧˨ʂăŋ˧˧
rắn giáo	ʐăŋ˦˥jaw˦˥
rắn gió	ʐăŋ˦˥jɔ˦˥
rắn hổ lục	ʐăŋ˦˥ho˨˩˦luk͡p˨˩˨
rắn hổ lửa	ʐăŋ˦˥ho˨˩˦lɯə˨˩˦
rắn hổ mang	ʐăŋ˦˥ho˨˩˦maŋ˧˧
rắn hổ trâu	ʐăŋ˦˥ho˨˩˦ʈɤ̆w˧˧
rắn hổ đất	ʐăŋ˦˥ho˨˩˦dɤ̆k˦˥
rắn khôn giấu đầu	ʐăŋ˦˥xoŋ͡m˧˧jɤ̆w˦˥dɤ̆w˧˨
rắn lải	ʐăŋ˦˥laj˨˩˦
rắn lục	ʐăŋ˦˥luk͡p˨˩˨
rắn lục cườm	ʐăŋ˦˥luk͡p˨˩˨kɯm˧˨
rắn lửa	ʐăŋ˦˥lɯə˨˩˦
rắn mai gầm	ʐăŋ˦˥maj˧˧ɣɤ̆m˧˨
rắn mang bành	ʐăŋ˦˥maŋ˧˧ban˧˨
rắn mày rắn mặt	ʐăŋ˦˥măj˧˨ʐăŋ˦˥măk˨˩˨
rắn mặt	ʐăŋ˦˥măk˨˩˨
rắn mối	ʐăŋ˦˥moj˦˥
rắn mồng năm	ʐăŋ˦˥moŋ͡m˧˨năm˧˧
rắn như thép	ʐăŋ˦˥ɲɯ˧˧tʰɛp˦˥
rắn nước	ʐăŋ˦˥nɯək˦˥
rắn nẹp nia	ʐăŋ˦˥nɛp˨˩˨niə˧˧
rắn phì	ʐăŋ˦˥fi˧˨
rắn ráo	ʐăŋ˦˥ʐaw˦˥
rắn râu	ʐăŋ˦˥ʐɤ̆w˧˧
rắn rết	ʐăŋ˦˥ʐet˦˥
rắn rỏi	ʐăŋ˦˥ʐɔj˨˩˦
rắn trong lỗ bò ra	ʐăŋ˦˥ʈɔŋ͡m˧˧lo˨˩˦bɔ˧˨ʐa˧˧
rắn trong lỗ cũng phải bò ra	ʐăŋ˦˥ʈɔŋ͡m˧˧lo˨˩˦kuŋ͡m˨˩˦faj˨˩˦bɔ˧˨ʐa˧˧
rắn trùn	ʐăŋ˦˥ʈuŋ͡m˧˨
rắn đeo kính	ʐăŋ˦˥deo˧˧kin˦˥
rắn đòn cân	ʐăŋ˦˥dɔŋ͡m˧˨kɤ̆ŋ˧˧
rắn đầu	ʐăŋ˦˥dɤ̆w˧˨
rắn độc	ʐăŋ˦˥dok͡p˨˩˨
rắp	ʐăp˦˥
rắp cung bắn sẻ	ʐăp˦˥kuŋ͡m˧˧băŋ˦˥ʂɛ˨˩˦
rắp mong	ʐăp˦˥mɔŋ͡m˧˧
rắp ranh	ʐăp˦˥ʐan˧˧
rắp ranh bắn sẻ	ʐăp˦˥ʐan˧˧băŋ˦˥ʂɛ˨˩˦
rắp tâm	ʐăp˦˥tɤ̆m˧˧
rằm	ʐăm˧˨
rằn	ʐăŋ˧˨
rằn ri	ʐăŋ˧˨ʐi˧˧
rằn rện	ʐăŋ˧˨ʐen˨˩˨
rằng	ʐăŋ˧˨
rặc	ʐăk˨˩˨
rặm	ʐăm˨˩˨
rặn	ʐăŋ˨˩˨
rặng	ʐăŋ˨˩˨
rặt	ʐăk˨˩˨
rặt nòi	ʐăk˨˩˨nɔj˧˨
rẹo rọc	ʐeo˨˩˨ʐɔk͡p˨˩˨
rẹt	ʐɛt˨˩˨
rẻ	ʐɛ˨˩˦
rẻ mạt	ʐɛ˨˩˦mat˨˩˨
rẻ như bèo	ʐɛ˨˩˦ɲɯ˧˧beo˧˨
rẻ như bèo, nhiều heo cũng hết	ʐɛ˨˩˦ɲɯ˧˧beo˧˨ɲiəw˧˨heo˧˧kuŋ͡m˨˩˦het˦˥
rẻ như bùn	ʐɛ˨˩˦ɲɯ˧˧buŋ͡m˧˨
rẻ quạt	ʐɛ˨˩˦wat˨˩˨
rẻ rúng	ʐɛ˨˩˦ʐuŋ͡m˦˥
rẻ sườn	ʐɛ˨˩˦ʂɯəŋ˧˨
rẻ thối	ʐɛ˨˩˦tʰoj˦˥
rẻ tiền	ʐɛ˨˩˦tiəŋ˧˨
rẻ tiền mặt, đắt tiền chịu	ʐɛ˨˩˦tiəŋ˧˨măk˨˩˨dăk˦˥tiəŋ˧˨ciw˨˩˨
rẻo	ʐeo˨˩˦
rẻo cao	ʐeo˨˩˦kaw˧˧
rẻo cẳng	ʐeo˨˩˦kăŋ˨˩˦
rẽ	ʐɛ˨˩˦
rẽ cho	ʐɛ˨˩˦cɔ˧˧
rẽ cửa chia nhà	ʐɛ˨˩˦kɯə˨˩˦ciə˧˧ɲa˧˨
rẽ duyên	ʐɛ˨˩˦jwiəŋ˧˧
rẽ dây cương	ʐɛ˨˩˦jɤ̆j˧˧kɯəŋ˧˧
rẽ mạch	ʐɛ˨˩˦mat˨˩˨
rẽ ngang	ʐɛ˨˩˦ŋaŋ˧˧
rẽ ràng	ʐɛ˨˩˦ʐaŋ˧˨
rẽ ròi	ʐɛ˨˩˦ʐɔj˧˨
rẽ rọt	ʐɛ˨˩˦ʐɔk͡p˨˩˨
rẽ thuý chia uyên	ʐɛ˨˩˦tʰwi˦˥ciə˧˧wiəŋ˧˧
rẽ đôi	ʐɛ˨˩˦doj˧˧
rẽ đường ngôi	ʐɛ˨˩˦dɯəŋ˧˨ŋoj˧˧
rế	ʐe˦˥
rế rách đỡ nóng tay	ʐe˦˥ʐat˦˥dɤ˨˩˦nɔŋ͡m˦˥tăj˧˧
rếch	ʐet˦˥
rếch rác	ʐet˦˥ʐak˦˥
rết	ʐet˦˥
rết lắm chân	ʐet˦˥lăm˦˥cɤ̆ŋ˧˧
rết tơ	ʐet˦˥tɤ˧˧
rết đất	ʐet˦˥dɤ̆k˦˥
rề rà	ʐe˧˨ʐa˧˨
rề rề	ʐe˧˨ʐe˧˨
rề-gát	ʐe˧˨-ɣat˦˥
rền	ʐen˧˨
rền rĩ	ʐen˧˨ʐi˨˩˦
rền rền	ʐen˧˨ʐen˧˨
rềnh ràng	ʐen˧˨ʐaŋ˧˨
rều	ʐɛu˧˨
rể	ʐe˨˩˦
rểnh rang	ʐen˨˩˦ʐaŋ˧˧
rểnh rảng	ʐen˨˩˦ʐaŋ˨˩˦
rễ	ʐe˨˩˦
rễ bành	ʐe˨˩˦ban˧˨
rễ bên	ʐe˨˩˦ben˧˧
rễ bạnh	ʐe˨˩˦ban˨˩˨
rễ chùm	ʐe˨˩˦cum˧˨
rễ con	ʐe˨˩˦kɔŋ͡m˧˧
rễ cái	ʐe˨˩˦kaj˦˥
rễ cọc	ʐe˨˩˦kɔk͡p˨˩˨
rễ cột	ʐe˨˩˦kok͡p˨˩˨
rễ củ	ʐe˨˩˦ku˨˩˦
rễ giả	ʐe˨˩˦ja˨˩˦
rễ phụ	ʐe˨˩˦fu˨˩˨
rễ quạch	ʐe˨˩˦wat˨˩˨
rễ độc	ʐe˨˩˦dok͡p˨˩˨
rệ	ʐe˨˩˨
rệp	ʐep˨˩˨
rệp son	ʐep˨˩˨ʂɔŋ͡m˧˧
rệp sáp	ʐep˨˩˨ʂap˦˥
rệu	ʐɛu˨˩˨
rệu rã	ʐɛu˨˩˨ʐa˨˩˦
rệu rạo	ʐɛu˨˩˨ʐaw˨˩˨
rỉ	ʐi˨˩˦
rỉ hơi	ʐi˨˩˦hɤj˧˧
rỉ răng	ʐi˨˩˦ʐăŋ˧˧
rỉ rả	ʐi˨˩˦ʐa˨˩˦
rỉ tai	ʐi˨˩˦taj˧˧
rỉa	ʐiə˨˩˦
rỉa lông	ʐiə˨˩˦loŋ͡m˧˧
rỉa ráy	ʐiə˨˩˦ʐăj˦˥
rỉa rói	ʐiə˨˩˦ʐɔj˦˥
rỉn	ʐin˨˩˦
rị	ʐi˨˩˨
rị mọ	ʐi˨˩˨mɔ˨˩˨
rịa	ʐiə˨˩˨
rịn	ʐin˨˩˨
rịt	ʐit˨˩˨
rọ	ʐɔ˨˩˨
rọ mõm	ʐɔ˨˩˨mɔm˨˩˦
rọ rạy	ʐɔ˨˩˨ʐăj˨˩˨
rọc	ʐɔk͡p˨˩˨
rọc giấy	ʐɔk͡p˨˩˨jɤ̆j˦˥
rọc phách	ʐɔk͡p˨˩˨fat˦˥
rọi	ʐɔj˨˩˨
rọn	ʐɔŋ͡m˨˩˨
rọt rẹt	ʐɔk͡p˨˩˨ʐɛt˨˩˨
rỏ	ʐɔ˨˩˦
rỏ dãi	ʐɔ˨˩˦jaj˨˩˦
rỏ giọt	ʐɔ˨˩˦jɔk͡p˨˩˨
rỏ rẻ	ʐɔ˨˩˦ʐɛ˨˩˦
rỏn	ʐɔŋ͡m˨˩˦
rỏng	ʐɔŋ͡m˨˩˦
rốc	ʐok͡p˦˥
rốc két	ʐok͡p˦˥kɛt˦˥
rốc kết	ʐok͡p˦˥ket˦˥
rốc-két	ʐok͡p˦˥-kɛt˦˥
rốc-kết	ʐok͡p˦˥-ket˦˥
rối	ʐoj˦˥
rối beng	ʐoj˦˥bɛŋ˧˧
rối bung	ʐoj˦˥buŋ͡m˧˧
rối bét	ʐoj˦˥bɛt˦˥
rối bòng bong	ʐoj˦˥bɔŋ͡m˧˨bɔŋ͡m˧˧
rối bù	ʐoj˦˥bu˧˨
rối bời	ʐoj˦˥bɤj˧˨
rối cạn	ʐoj˦˥kaŋ˨˩˨
rối loạn	ʐoj˦˥lwaŋ˨˩˨
rối mù	ʐoj˦˥mu˧˨
rối mắt	ʐoj˦˥măk˦˥
rối như bòng bong	ʐoj˦˥ɲɯ˧˧bɔŋ͡m˧˨bɔŋ͡m˧˧
rối như bối bòng bong	ʐoj˦˥ɲɯ˧˧boj˦˥bɔŋ͡m˧˨bɔŋ͡m˧˧
rối như canh hẹ	ʐoj˦˥ɲɯ˧˧kan˧˧hɛ˨˩˨
rối như ruột tằm	ʐoj˦˥ɲɯ˧˧ʐuək˨˩˨tăm˧˨
rối như tơ vò	ʐoj˦˥ɲɯ˧˧tɤ˧˧jɔ˧˨
rối nùi	ʐoj˦˥nuj˧˨
rối nước	ʐoj˦˥nɯək˦˥
rối ra rối rít	ʐoj˦˥ʐa˧˧ʐoj˦˥ʐit˦˥
rối ren	ʐoj˦˥ʐɛŋ˧˧
rối ruột	ʐoj˦˥ʐuək˨˩˨
rối ruột rối gan	ʐoj˦˥ʐuək˨˩˨ʐoj˦˥ɣaŋ˧˧
rối rít	ʐoj˦˥ʐit˦˥
rối rít tít mù	ʐoj˦˥ʐit˦˥tit˦˥mu˧˨
rối rắm	ʐoj˦˥ʐăm˦˥
rối tinh	ʐoj˦˥tin˧˧
rối tinh rối mù	ʐoj˦˥tin˧˧ʐoj˦˥mu˧˨
rối trí	ʐoj˦˥ʈi˦˥
rối tung	ʐoj˦˥tuŋ͡m˧˧
rốn	ʐoŋ͡m˦˥
rốn bể	ʐoŋ͡m˦˥be˨˩˦
rốn bể mò kim	ʐoŋ͡m˦˥be˨˩˦mɔ˧˨kim˧˧
rốn chiêng	ʐoŋ͡m˦˥ciəŋ˧˧
rốn lại	ʐoŋ͡m˦˥laj˨˩˨
rống	ʐoŋ͡m˦˥
rống như bò	ʐoŋ͡m˦˥ɲɯ˧˧bɔ˧˨
rốp	ʐop˦˥
rốt	ʐok͡p˦˥
rốt bảng	ʐok͡p˦˥baŋ˨˩˦
rốt cuộc	ʐok͡p˦˥kuək˨˩˨
rốt cùng	ʐok͡p˦˥kuŋ͡m˧˨
rốt cục	ʐok͡p˦˥kuk͡p˨˩˨
rốt lòng	ʐok͡p˦˥lɔŋ͡m˧˨
rốt ráo	ʐok͡p˦˥ʐaw˦˥
rồ	ʐo˧˨
rồ dại	ʐo˧˨jaj˨˩˨
rồi	ʐoj˧˨
rồi nữa	ʐoj˧˨nɯə˨˩˦
rồi ra	ʐoj˧˨ʐa˧˧
rồi sao	ʐoj˧˨ʂaw˧˧
rồi sẽ hay	ʐoj˧˨ʂɛ˨˩˦hăj˧˧
rồi tay	ʐoj˧˨tăj˧˧
rồi thì	ʐoj˧˨tʰi˧˨
rồi đây	ʐoj˧˨dɤ̆j˧˧
rồi đời	ʐoj˧˨dɤj˧˨
rồm rộp	ʐom˧˨ʐop˨˩˨
rồn rột	ʐoŋ͡m˧˨ʐok͡p˨˩˨
rồng	ʐoŋ͡m˧˨
rồng bay phượng múa	ʐoŋ͡m˧˨băj˧˧fɯəŋ˨˩˨muə˦˥
rồng mây	ʐoŋ͡m˧˨mɤ̆j˧˧
rồng mây gặp hội	ʐoŋ͡m˧˨mɤ̆j˧˧ɣăp˨˩˨hoj˨˩˨
rồng rắn	ʐoŋ͡m˧˨ʐăŋ˦˥
rồng rồng	ʐoŋ͡m˧˨ʐoŋ͡m˧˨
rồng vàng tắm nước ao tù	ʐoŋ͡m˧˨jaŋ˧˨tăm˦˥nɯək˦˥aw˧˧tu˧˨
rồng đất	ʐoŋ͡m˧˨dɤ̆k˦˥
rồng đến nhà tôm	ʐoŋ͡m˧˨den˦˥ɲa˧˨tom˧˧
rổ	ʐo˨˩˦
rổ rá	ʐo˨˩˦ʐa˦˥
rổ rá cạp lại	ʐo˨˩˦ʐa˦˥kap˨˩˨laj˨˩˨
rổi	ʐoj˨˩˦
rổn	ʐoŋ͡m˨˩˦
rổn rảng	ʐoŋ͡m˨˩˦ʐaŋ˨˩˦
rỗ	ʐo˨˩˦
rỗ chằng	ʐo˨˩˦căŋ˧˨
rỗ hoa	ʐo˨˩˦hwa˧˧
rỗi	ʐoj˨˩˦
rỗi hơi	ʐoj˨˩˦hɤj˧˧
rỗi rãi	ʐoj˨˩˦ʐaj˨˩˦
rỗi việc	ʐoj˨˩˦jiək˨˩˨
rỗng	ʐoŋ͡m˨˩˦
rỗng hoác	ʐoŋ͡m˨˩˦hwak˦˥
rỗng không	ʐoŋ͡m˨˩˦xoŋ͡m˧˧
rỗng như đít bụt	ʐoŋ͡m˨˩˦ɲɯ˧˧dit˦˥buk͡p˨˩˨
rỗng ruột	ʐoŋ͡m˨˩˦ʐuək˨˩˨
rỗng toác	ʐoŋ͡m˨˩˦twak˦˥
rỗng tuếch	ʐoŋ͡m˨˩˦twet˦˥
rỗng tuếch rỗng toác	ʐoŋ͡m˨˩˦twet˦˥ʐoŋ͡m˨˩˦twak˦˥
rộ	ʐo˨˩˨
rộ việc	ʐo˨˩˨jiək˨˩˨
rộc	ʐok͡p˨˩˨
rộc rạc	ʐok͡p˨˩˨ʐak˨˩˨
rộm	ʐom˨˩˨
rộn	ʐoŋ͡m˨˩˨
rộn ràng	ʐoŋ͡m˨˩˨ʐaŋ˧˨
rộn rã	ʐoŋ͡m˨˩˨ʐa˨˩˦
rộn rạo	ʐoŋ͡m˨˩˨ʐaw˨˩˨
rộn rịch	ʐoŋ͡m˨˩˨ʐit˨˩˨
rộn rịp	ʐoŋ͡m˨˩˨ʐip˨˩˨
rộn rực	ʐoŋ͡m˨˩˨ʐɯk˨˩˨
rộng	ʐoŋ͡m˨˩˨
rộng bằng bàn tay	ʐoŋ͡m˨˩˨băŋ˧˨baŋ˧˨tăj˧˧
rộng bụng	ʐoŋ͡m˨˩˨buŋ͡m˨˩˨
