ँ	ə̃
बंदरगाह	bə̃n̪d̪əɾɡäːɦ
बंदरिया	bə̃n̪d̪əɾijäː
बंदा	bə̃n̪d̪äː
बंदिनी	bə̃n̪d̪ɪn̪iː
बंदिश	bə̃n̪d̪ɪʃ
बंदी	bə̃n̪d̪iː
बंदीघर	bə̃n̪d̪iːɡʱəɾ
बंदूक़	bə̃n̪d̪uːk
बंदूक़	bə̃n̪d̪uːq
बंध	bə̃n̪d̪ʱ
बंधु	bə̃n̪d̪ʱuː
बंधुत्व	bə̃n̪d̪ʱʊt̪wᵊ
बंबई	bə̃mbəiː
बंबा	bə̃mbäː
बंबैया	bə̃mbə̯ijäː
बकरा	bəkɾäː
बकवास	bəkwäːs̪
बक़ाया	bəkäːjäː
बक़ाया	bəqäːjäː
बक्सा	bəks̪äː
बख़रा	bəkʰɾäː
बख़रा	bəxɾäː
बख़ील	bəkʰiːl̪
बख़ील	bəxiːl̪
बख़्शना	bəkʰʃn̪äː
बख़्शना	bəxʃn̪äː
बखान	bəkʰä̃ːn̪
बगला	bəɡl̪äː
बग़दाद	bəɡd̪äːd̪
बग़दाद	bəɣd̪äːd̪
बग़ल	bəɡəl̪
बग़ल	bəɣəl̪
बग़ावत	bəɡäːʋət̪
बग़ावत	bəɣäːʋət̪
बग़ीचा	bəɡiːt͡ʃäː
बग़ीचा	bəɣiːt͡ʃäː
बगावत	bəɡäːʋət̪
बगावत	bəɣäːʋət̪
बगीचा	bəɡiːt͡ʃäː
बगीचा	bəɣiːt͡ʃäː
बघारना	bəɡʱäːɾn̪äː
बचना	bət͡ʃn̪äː
बचपन	bət͡ʃpə̃n̪
बचपना	bət͡ʃpən̪äː
बचाना	bət͡ʃäːn̪äː
बचाव	bət͡ʃäːʋ
बच्चन	bət̚t͡ʃə̃n̪
बच्चा	bət̚t͡ʃäː
बछड़ा	bət͡ʃʰɽäː
बजना	bəd͡ʒn̪äː
बजरंगबली	bəd͡ʒɾə̃ŋɡəbl̪iː
बजाय	bəd͡ʒäːj
बटाटा	bəʈäːʈäː
बटाना	bəʈäːn̪äː
बटालियन	bəʈäːl̪ijə̃n̪
बटोरना	bəʈoːɾn̪äː
बड़बड़ाना	bəɽbəɽäːn̪äː
बड़ा	bəɽäː
बडा	bəɽäː
बढ़ना	bəɽʱn̪äː
बढ़ाना	bəɽʱäːn̪äː
बढ़ावा	bəɽʱäːʋäː
बढ़िया	bəɽʱijäː
बढ़ेला	bəɽʱeːl̪äː
बतलाना	bət̪l̪äːn̪äː
बताना	bət̪äːn̪äː
बतियाना	bət̪ijäːn̪äː
बत्तख	bət̪̚t̪əkʰ
बत्तख	bət̪̚t̪əx
बत्तख़	bət̪̚t̪əkʰ
बत्तख़	bət̪̚t̪əx
बत्ती	bət̪̚t̪iː
बत्तीस	bət̪̚t̪iːs̪
बदतमीज़	bəd̪̚t̪əmiːd͡ʒ
बदतमीज़	bəd̪̚t̪əmiːz
बदतर	bəd̪̚t̪əɾ
बदतरीन	bəd̪̚t̪əɾĩːn̪
बदन	bəd̪ə̃n̪
बदनाम	bəd̪̚n̪ä̃ːm
बदमाश	bəd̪mäːʃ
बदल	bəd̪əl̪
बदलाव	bəd̪l̪äːʋ
बदौलत	bəd̪ɔːl̪ət̪
बद्दुआ	bəd̪̚d̪ʊäː
बद्दू	bəd̪̚d̪uː
बधिरता	bəd̪ʱɪɾt̪äː
बन	bə̃n̪
बनना	bə̃n̪n̪äː
बनमानुस	bə̃n̪mäːn̪ʊs̪
बनवाना	bə̃n̪wäːn̪äː
बनाऊंगी	bən̪äːũːŋɡiː
बनाना	bən̪äːn̪äː
बनाने	bən̪äːn̪eː
बनाम	bən̪ä̃ːm
बनारस	bən̪äːɾəs̪
बनावट	bən̪äːʋəʈ
बनावटी	bən̪äːʋəʈiː
बनिज	bən̪ɪd͡ʒ
बनिया	bən̪ijäː
बनियान	bən̪ijä̃ːn̪
बन्दिनी	bə̃n̪d̪ɪn̪iː
बन्दीघर	bə̃n̪d̪iːɡʱəɾ
बन्दूक	bə̃n̪d̪uːk
बन्दूक	bə̃n̪d̪uːq
बन्दूक़	bə̃n̪d̪uːk
बन्दूक़	bə̃n̪d̪uːq
बपतिस्मा	bəpt̪ɪs̪mäː
बबूल	bəbuːl̪
बब्बर	bəb̚bəɾ
बम	bə̃m
बमबारी	bə̃mbäːɾiː
बमवर्षक	bə̃mwəɾʃək
बम्बई	bə̃mbəiː
बम्बैया	bə̃mbə̯ijäː
बयान	bəjä̃ːn̪
बयानबाज़ी	bəjä̃ːn̪bäːd͡ʒiː
बयानबाज़ी	bəjä̃ːn̪bäːziː
बयालीस	bəjäːl̪iːs̪
बयासी	bəjäːs̪iː
बरक़रार	bəɾkəɾäːɾ
बरक़रार	bəɾqəɾäːɾ
बरज़बान	bəɾəd͡ʒbä̃ːn̪
बरज़बान	bəɾəzbä̃ːn̪
बरतन	bəɾt̪ə̃n̪
बरतना	bəɾət̪̚n̪äː
बरमा	bəɾmäː
बरस	bəɾəs̪
बरसात	bəɾs̪äːt̪
बरसी	bəɾs̪iː
बरात	bəɾäːt̪
बराबर	bəɾäːbəɾ
बरामद	bəɾäːməd̪
बरामदा	bəɾä̃ːmd̪äː
बरिशाल	bəɾɪʃäːl̪
बरेली	bəɾeːl̪iː
बर्ख़ास्त	bəɾkʰäːs̪t̪
बर्ख़ास्त	bəɾxäːs̪t̪
बर्खा	bəɾkʰäː
बर्तन	bəɾt̪ə̃n̪
बर्ताव	bəɾt̪äːʋ
बर्दाश्त	bəɾd̪äːʃt̪
बर्फ़ीला	bəɾfiːl̪äː
बर्फ़ीला	bəɾpʰiːl̪äː
बर्मिंघम	bəɾmɪ̃ŋɡʱə̃m
बर्लिन	bəɾl̪ɪ̃n̪
बल	bəl̪
बलगतिकी	bəl̪ɡət̪ɪkiː
बलग़म	bəl̪ɡə̃m
बलग़म	bəl̪ɣə̃m
बलपूर्वक	bəl̪puːɾʋək
बलमटेर	bəl̪ə̃mʈeːɾ
बला	bəl̪äː
बलिदान	bəl̪ɪd̪ä̃ːn̪
बलूच	bəl̪uːt͡ʃ
बलूचिस्तान	bəl̪uːt͡ʃɪs̪t̪ä̃ːn̪
बलूची	bəl̪uːt͡ʃiː
बल्कि	bəl̪kiː
बल्ला	bəl̪l̪äː
बल्ली	bəl̪l̪iː
बल्लेबाज़	bəl̪l̪eːbäːd͡ʒ
बल्लेबाज़	bəl̪l̪eːbäːz
बवाल	bəʋäːl̪
बवासीर	bəʋäːs̪iːɾ
बस	bəs̪
बसंत	bəs̪ə̃n̪t̪
बसना	bəs̪n̪äː
बसेरा	bəs̪eːɾäː
बस्त	bəs̪t̪
बस्ता	bəs̪t̪äː
बस्ती	bəs̪t̪iː
बहकना	bɛɦɛkn̪äː
बहकाना	bɛɦkäːn̪äː
बहत्तर	bɛɦɛt̪̚t̪əɾ
बहन	bəɦɪ̃n̪
बहन	bɛɦɛ̃n̪
बहनचोद	bɛɦɛ̃n̪t͡ʃoːd̪
बहना	bɛɦn̪äː
बहनापा	bɛɦn̪äːpäː
बहनोई	bɛɦn̪oːiː
बहरा	bɛɦɾäː
बहराइच	bɛɦɾäːɪt͡ʃ
बहरापन	bɛɦɾäːpə̃n̪
बहरी	bɛɦɾiː
बहरीन	bɛɦɾĩːn̪
बहलना	bɛɦɛl̪n̪äː
बहलाना	bɛɦl̪äːn̪äː
बहस	bɛɦɛs̪
बहादुर	bəɦäːd̪ʊɾ
बहादुरी	bəɦäːd̪ʊɾiː
बहाना	bəɦäːn̪äː
बहाल	bəɦäːl̪
बहाव	bəɦäːʋ
बहावलनगर	bəɦäːʋəl̪n̪əɡəɾ
बहावलपुर	bəɦäːʋəl̪pʊɾ
बहिन	bəɦɪ̃n̪
बहिर्वेशन	bəɦɪɾʋeːʃə̃n̪
बहिष्कार	bəɦɪʃkäːɾ
बहुचर्चित	bɔɦɔt͡ʃəɾt͡ʃɪt̪
बहुजन	bɔɦɔd͡ʒə̃n̪
बहुत	bɔɦɔt̪
बहुदलीय	bɔɦɔd̪əl̪iːjᵊ
बहुपद	bɔɦɔpəd̪
बहुपयोगी	bɔɦɔpjoːɡiː
बहुफलक	bɔɦɔpʰəl̪ək
बहुभाषीय	bəɦubʱɑːʂijə
बहुभुज	bɔɦɔbʱʊd͡ʒ
बहुराष्ट्रीय	bɔɦɔɾäːʃʈɾiːjᵊ
बहुरूपिया	bɔɦɔɾuːpijäː
बहुवचन	bɔɦɔʋət͡ʃə̃n̪
बहुविवाह	bɔɦɔʋɪʋäːɦ
बहुव्रीहि	bɔɦɔʋɾiːɦiː
बहुसंख्यक	bɔɦɔs̪ə̃ŋkʰjək
बहुसंख्या	bɔɦɔs̪ə̃ŋkʰjäː
बाँग	bä̃ːŋɡ
बाँचना	bä̃ːt͡ʃn̪äː
बाँझ	bä̃ːn̪d͡ʒʱ
बाँटना	bä̃ːʈn̪äː
बाँध	bä̃ːn̪d̪ʱ
बाँधना	bä̃ːn̪d̪ʱn̪äː
बाँस	bä̃ːs̪
बाँसुरी	bä̃ːs̪ʊɾiː
बाँह	bä̃ːɦ
बांग्लादेश	bä̃ːŋɡl̪äːd̪eːʃ
बांचना	bä̃ːt͡ʃn̪äː
बांझ	bä̃ːn̪d͡ʒʱ
बांटना	bä̃ːʈn̪äː
बांधव	bä̃ːn̪d̪ʱəʋ
बांस	bä̃ːn̪s̪
बांह	bä̃ːɦ
बाई	bäːiː
बाईस	bäːiːs̪
बाएँ	bäːẽː
बाक़ायदा	bäːkäːjd̪äː
बाक़ायदा	bäːqäːjd̪äː
बाक़ी	bäːkiː
बाक़ी	bäːqiː
बाकी	bäːkiː
बाकी	bäːqiː
बाकू	bäːkuː
बाख़ुदा	bäːkʰʊd̪äː
बाख़ुदा	bäːxʊd̪äː
बाग	bäːɡ
बाग	bäːɣ
बाग़	bäːɡ
बाग़	bäːɣ
बाघ	bäːɡʱ
बाछ	bäːt͡ʃʰ
बाजरा	bäːd͡ʒɾäː
बाज़	bäːd͡ʒ
बाज़	bäːz
बाज़ारी	bäːd͡ʒäːɾiː
बाज़ारी	bäːzäːɾiː
बाज़ीचा	bäːd͡ʒiːt͡ʃäː
बाज़ीचा	bäːziːt͡ʃäː
बाज़ू	bäːd͡ʒuː
बाज़ू	bäːzuː
बाजा	bäːd͡ʒäː
बाजी	bäːd͡ʒiː
बाट	bäːʈ
बाटना	bäːʈn̪äː
बाड़ी	bäːɽiː
बाढ़	bäːɽʱ
बाण	bä̃ːɳ
बात	bäːt̪
बातचीत	bäːt̪̚t͡ʃiːt̪
बाती	bäːt̪iː
बातूनी	bäːt̪uːn̪iː
बाथरूम	bäːt̪ʰɾũːm
बाद	bäːd̪
बादल	bäːd̪əl̪
बादशाह	bäːd̪ʃäːɦ
बादशाहत	bäːd̪ʃäːɦət̪
बादाम	bäːd̪ä̃ːm
बाधा	bäːd̪ʱäː
बाध्य	bäːd̪ʱjᵊ
बान	bä̃ːn̪
बानवे	bä̃ːn̪weː
बाप	bäːp
बापू	bäːpuː
बाप्तिस्मा	bäːpt̪ɪs̪mäː
बाबत	bäːbət̪
बाबर	bäːbəɾ
बाबा	bäːbäː
बाबू	bäːbuː
बायाँ	bäːjä̃ː
बार	bäːɾ
बारह	bäːɾəɦ
बारहखड़ी	bäːɾɛɦkʰəɽiː
बारात	bäːɾäːt̪
बारिक	bäːɾɪk
बारिश	bäːɾɪʃ
बारी	bäːɾiː
बारीक	bäːɾiːk
बारूद	bäːɾuːd̪
बारूदख़ाना	bäːɾuːd̪kʰäːn̪äː
बारूदख़ाना	bäːɾuːd̪xäːn̪äː
बारे	bäːɾeː
बाल	bäːl̪
बालक	bäːl̪ək
बालकेलि	bäːl̪keːl̪iː
बालक्रीड़ा	bäːl̪əkɾiːɽäː
बालटी	bäːl̪ʈiː
बालतोड	bäːl̪t̪oːɽ
बालतोड़	bäːl̪t̪oːɽ
बालपन	bäːl̪pə̃n̪
बालिका	bäːl̪ɪkäː
बालिश	bäːl̪ɪʃ
बालू	bäːl̪uː
बाल्टी	bäːl̪ʈiː
बाल्यावस्था	bäːl̪jäːʋəs̪t̪ʰäː
बावजूद	bäːʋd͡ʒuːd̪
बावन	bäːʋə̃n̪
बावरची	bäːʋəɾt͡ʃiː
बावला	bäːʋl̪äː
बाशिंदा	bäːʃɪ̃n̪d̪äː
बासठ	bäːs̪əʈʰ
बासन	bäːs̪ə̃n̪
बासमती	bäːs̪mət̪iː
बाहर	bäːɦəɾ
बाहुबली	bäːɦʊbəl̪iː
बाह्य	bäːɦjᵊ
बिंदास	bɪ̃n̪d̪äːs̪
बिंदी	bɪ̃n̪d̪iː
बिंदु	bɪ̃n̪d̪uː
बिकवाल	bɪkwäːl̪
बिकाऊ	bɪkäːuː
बिगड़ना	bɪɡəɽn̪äː
बिगुल	bɪɡʊl̪
बिचला	bɪt͡ʃl̪äː
बिचौलिया	bɪt͡ʃɔːl̪ijäː
बिच्छू	bɪt̚t͡ʃʰuː
बिछड़ना	bɪt͡ʃʰəɽn̪äː
बिछना	bɪt͡ʃʰn̪äː
बिछवाना	bɪt͡ʃʰʋäːn̪äː
बिछाना	bɪt͡ʃʰäːn̪äː
बिछौना	bɪt͡ʃʰɔːn̪äː
बिजली	bɪd͡ʒl̪iː
बिजलीकरण	bɪd͡ʒl̪iːkəɾə̃ɳ
बिजलीघर	bɪd͡ʒl̪iːɡʱəɾ
बिटकॉइन	bɪʈkɔɪ̃n̪
बिटिया	bɪʈijäː
बिताना	bɪt̪äːn̪äː
बित्ता	bɪt̪̚t̪äː
बिन	bɪ̃n̪
बिनती	bɪ̃n̪t̪iː
बिना	bɪn̪äː
बिबाद	bɪbäːd̪
बिमारी	bɪmäːɾiː
बियाबान	bijäːbä̃ːn̪
बिरयानी	bɪɾjäːn̪iː
बिरादर	bɪɾäːd̪əɾ
बिल	bɪl̪
बिलखना	bɪl̪əkʰn̪äː
बिलोना	bɪl̪oːn̪äː
बिलौटा	bɪl̪ɔːʈäː
बिल्कुल	bɪl̪kʊl̪
बिल्ला	bɪl̪l̪äː
बिल्ली	bɪl̪l̪iː
बिश्नोई	bɪʃn̪oːiː
बिसरना	bɪs̪əɾn̪äː
बिस्कुट	bɪs̪kʊʈ
बिस्तर	bɪs̪t̪əɾ
बिस्मिल्ला	bɪs̪mɪl̪l̪äː
बिहार	bɪɦäːɾ
बिहारी	bɪɦäːɾiː
बीकानेर	biːkäːn̪eːɾ
बीघा	biːɡʱäː
बीजांड	biːd͡ʒä̃ːɳɖ
बीजांडासन	biːd͡ʒä̃ːɳɖäːs̪ə̃n̪
बीड़ा	biːɽäː
बीतना	biːt̪̚n̪äː
बीमा	biːmäː
बीमार	biːmäːɾ
बीमारी	biːmäːɾiː
बीरगंज	biːɾɡə̃n̪d͡ʒ
बीवी	biːviː
बीस	biːs̪
बुंदेलखंड	bʊ̃n̪d̪eːl̪kʰə̃ɳɖ
बुंदेली	bʊ̃n̪d̪eːl̪iː
बुआ	bʊäː
बुआई	bʊäːiː
बुज़दिल	bʊd͡ʒd̪ɪl̪
बुज़दिल	bʊzd̪ɪl̪
बुझाना	bʊd͡ʒʱäːn̪äː
बुटवल	bʊʈwəl̪
बुड्ढा	bʊɖ̚ɖʱäː
बुड्ढी	bʊɖ̚ɖʱiː
बुढ़ाना	bʊɽʱäːn̪äː
बुढ़ापा	bʊɽʱäːpäː
बुद्धि	bʊd̪̚d̪ʱiː
बुद्धिजीवी	bʊd̪̚d̪ʱɪd͡ʒiːʋiː
बुद्धिमान	bʊd̪̚d̪ʱɪmä̃ːn̪
बुधवार	bʊd̪ʱʋäːɾ
बुनना	bʊ̃n̪n̪äː
बुनियाद	bʊn̪ijäːd̪
बुभुक्षा	bʊbʱʊkʃäː
बुभुक्षित	bʊbʱʊkʃɪt̪
बुरक़ा	bʊɾkäː
बुरक़ा	bʊɾqäː
बुर्जुआ	bʊɾd͡ʒʊäː
बुलंद	bʊl̪ə̃n̪d̪
बुलंदशहर	bʊl̪ə̃n̪d̪ʃɛɦɛɾ
बुलबुल	bʊl̪bʊl̪
बुलबुला	bʊl̪bʊl̪äː
बुलाकर	bʊl̪äːkəɾ
बुलाना	bʊl̪äːn̪äː
बुलावा	bʊl̪äːʋäː
बुलेटिन	bʊl̪eːʈɪ̃n̪
बुल्गारिया	bʊl̪ɡäːɾijäː
बुल्ला	bʊl̪l̪äː
बुसान	bʊs̪ä̃ːn̪
बूँद	bũːn̪d̪
बूंद	bũːn̪d̪
बूझना	buːd͡ʒʱn̪äː
बूढ़ा	buːɽʱäː
बृहस्पति	bɾɪɦəs̪pət̪iː
बेंच	bẽːn̪t͡ʃ
बेअक़्ल	beːəkl̪ᵊ
बेअक़्ल	beːəql̪ᵊ
बेइज़्ज़ती	beːɪd̚d͡ʒət̪iː
बेक़रार	beːkəɾäːɾ
बेक़रार	beːqəɾäːɾ
बेक़ाबू	beːkäːbuː
बेक़ाबू	beːqäːbuː
बेकार	beːkäːɾ
बेगम	beːɡə̃m
बेगाना	beːɡäːn̪äː
बेगार	beːɡäːɾ
बेगुनाह	beːɡʊn̪äːɦ
बेचैन	beːt͡ʃɛ̃ːn̪
बेज़बान	beːd͡ʒbä̃ːn̪
बेज़बान	beːzbä̃ːn̪
बेजान	beːd͡ʒä̃ːn̪
बेटा	beːʈäː
बेड़ा	beːɽäː
बेतवा	beːt̪wäː
बेतहाशा	beːt̪əɦäːʃäː
बेताब	beːt̪äːb
बेतुका	beːt̪ʊkäː
बेदख़ल	beːd̪əkʰl̪ᵊ
बेदख़ल	beːd̪əxl̪ᵊ
बेदख़ली	beːd̪əkʰl̪iː
बेदख़ली	beːd̪əxl̪iː
बेनतीजा	beːn̪ət̪iːd͡ʒäː
बेबस	beːbəs̪
बेबाक़	beːbäːk
बेबाक़	beːbäːq
बेबुनियाद	beːbʊn̪ijäːd̪
बेमेल	beːmeːl̪
बेरौनक़	beːɾɔːn̪ək
बेरौनक़	beːɾɔːn̪əq
बेलचा	beːl̪t͡ʃäː
बेलन	beːl̪ə̃n̪
बेलना	beːl̪n̪äː
बेलनाकार	beːl̪ə̃n̪äːkäːɾ
बेलफ़ास्ट	beːl̪fäːs̪ʈ
बेलफ़ास्ट	beːl̪pʰäːs̪ʈ
बेलारूस	beːl̪äːɾuːs̪
बेल्जियम	beːl̪d͡ʒijə̃m
बेवफ़ा	beːʋəfäː
बेवफ़ा	beːʋəpʰäː
बेवा	beːʋäː
बेशक़ीमती	beːʃkĩːmt̪iː
बेशक़ीमती	beːʃqĩːmt̪iː
बेशुमार	beːʃʊmäːɾ
बेसन	beːs̪ə̃n̪
बेसबॉल	beːs̪bɔl̪
बेस्वाद	beːs̪ʋäːd̪
बेहतर	bɛɦt̪əɾ
बेहतरीन	beːɦt̪əɾĩːn̪
बैंक	bɛ̃ːŋk
बैंगन	bɛ̃ːŋɡə̃n̪
बैंगनी	bɛ̃ːŋɡn̪iː
बैठकबाज़	bɛːʈʰəkbäːd͡ʒ
बैठकबाज़	bɛːʈʰəkbäːz
बैठना	bɛːʈʰn̪äː
बैतनिय्याह	bɛːt̪ən̪ɪjjäːɦ
बैतलहम	bɛːt̪l̪ɛɦɛ̃m
बैरा	bɛːɾäː
बैल	bɛːl̪
बैलगाड़ी	bɛːl̪ɡäːɽiː
बैसाखी	bɛːs̪äːkʰiː
बॉलीवुड	bɔl̪iːʋʊɖ
बोझिल	boːd͡ʒʱɪl̪
बोतल	boːt̪əl̪
बोतलबंद	boːt̪əl̪bə̃n̪d̪
बोतली	boːt̪l̪iː
बोत्सवाना	boːt̪s̪ʋäːn̪äː
बोना	boːn̪äː
बोरियत	boːɾijət̪
बोल	boːl̪
बोलना	boːl̪n̪äː
बोलने	boːl̪n̪eː
बोलिए	boːl̪ɪeː
बोलिविया	boːl̪ɪʋijäː
बोली	boːl̪iː
बोलो	boːl̪oː
बोहरान	boːɦɾä̃ːn̪
बौछाड़	bɔːt͡ʃʰäːɽ
बौछार	bɔːt͡ʃʰäːɾ
बौड़म	bɔːɽə̃m
बौना	bɔːn̪äː
ब्याज	bjäːd͡ʒ
ब्यान	bjä̃ːn̪
ब्याह	bjäːɦ
ब्याहना	bjäːɦn̪äː
ब्योंत	bjõːn̪t̪
ब्यौरा	bjɔːɾäː
ब्रह्म	bɾɛɦmᵊ
ब्रह्मदेश	bɾɛɦməd̪eːʃ
ब्रह्मा	bɾɛɦmäː
ब्रह्मांड	bɾɛɦmä̃ːɳɖ
ब्रह्माण्ड	bɾɛɦmä̃ːɳɖ
ब्राज़िल	bɾäːd͡ʒɪl̪
ब्राज़िल	bɾäːzɪl̪
ब्राह्मण	bɾäːɦmə̃ɳ
ब्राह्मणेतर	bɾäːɦməɳeːt̪əɾ
ब्राह्मी	bɾäːɦmiː
ब्रिटेन	bɾɪʈẽːn̪
ब्रिस्बेन	bɾɪs̪bẽːn̪
ब्रुनेई	bɾʊn̪eːiː
ब्रूनेई	bɾuːn̪eːiː
ब्रैंपटन	bɾɛ̃ːmpʈə̃n̪
भँवरा	bʱə̃ʋɾäː
भंकस	bʱə̃ŋkəs̪
भंग	bʱə̃ŋɡ
भंजक	bʱə̃n̪d͡ʒək
भंडा	bʱə̃ɳɖäː
भंडाफोड़	bʱə̃ɳɖäːpʰoːɽ
भंडार	bʱə̃ɳɖäːɾ
भगनासा	bʱəɡn̪äːs̪äː
भगफल	bʱəɡpʰəl̪
भगवा	bʱəɡʋäː
भगवाकरण	bʱəɡʋäːkəɾə̃ɳ
भगवान	bʱəɡʋä̃ːn̪
भगवान्	bʱəɡʋä̃ːn̪
भजन	bʱəd͡ʒə̃n̪
भजमन	bʱəd͡ʒmə̃n̪
भटकना	bʱəʈəkn̪äː
भटनागर	bʱəʈn̪äːɡəɾ
भटूरा	bʱəʈuːɾäː
भड़कना	bʱəɽəkn̪äː
भड़काऊ	bʱəɽkäːuː
भड़काना	bʱəɽkäːn̪äː
भड़कीला	bʱəɽkiːl̪äː
भतीजा	bʱət̪iːd͡ʒäː
भत्ता	bʱət̪̚t̪äː
भद्दा	bʱəd̪̚d̪äː
भयाक्रांत	bʱəjäːkɾä̃ːn̪t̪
भयावह	bʱəjäːʋəɦ
भरण	bʱəɾə̃ɳ
भरना	bʱəɾn̪äː
भरनी	bʱəɾn̪iː
भरोसा	bʱəɾoːs̪äː
भरोसेमंद	bʱəɾoːs̪eːmə̃n̪d̪
भर्त्सना	bʱəɾt̪s̪ən̪äː
भला	bʱəl̪äː
भली	bʱəl̪iː
भले	bʱəl̪eː
भवन	bʱəʋə̃n̪
भविष्य	bʱəʋɪʃjə
भविष्यवाणी	bʱəʋɪʃjəʋäːɳiː
भाँग	bʱä̃ːŋɡ
भाँजना	bʱä̃ːn̪d͡ʒn̪äː
भाँड़	bʱä̃ːɽ
भाँति	bʱä̃ːn̪t̪iː
भांग	bʱä̃ːŋɡ
भांजा	bʱä̃ːn̪d͡ʒäː
भांजी	bʱä̃ːn̪d͡ʒiː
भाई	bʱäːiː
भाईचारा	bʱäːiːt͡ʃäːɾäː
भाखा	bʱäːkʰäː
भाग	bʱäːɡ
भागना	bʱäːɡn̪äː
भागवत	bʱäːɡʋət̪
भागा	bʱäːɡäː
भागी	bʱäːɡiː
भागीदार	bʱäːɡiːd̪äːɾ
भागे	bʱäːɡeː
भाग्यवान	bʱäːɡjəʋä̃ːn̪
भाग्यशाली	bʱäːɡjəʃäːl̪iː
भाजन	bʱäːd͡ʒə̃n̪
भाजपा	bʱäːd͡ʒpäː
भाटक	bʱäːʈək
भाड़	bʱäːɽ
भाड़ा	bʱäːɽäː
भात	bʱäːt̪
भाद्र	bʱäːd̪ɾᵊ
भाना	bʱäːn̪äː
भाप	bʱäːp
भाभी	bʱäːbʱiː
भार	bʱäːɾ
भारत	bʱäːɾət̪
भारतीय	bʱäːɾt̪iːjᵊ
भारा	bʱäːɾäː
भारी	bʱäːɾiː
भारोत्तोलक	bʱäːɾoːt̪̚t̪oːl̪ək
भारोत्तोलन	bʱäːɾoːt̪̚t̪oːl̪ə̃n̪
भारोपीय	bʱäːɾoːpiːjᵊ
भालू	bʱäːl̪uː
भाव	bʱäːʋ
भावनगर	bʱäːʋn̪əɡəɾ
भावना	bʱäːʋn̪äː
भावनात्मक	bʱäːʋn̪äːt̪mək
भावमय	bʱäːʋməj
भावुक	bʱäːʋʊk
भावुकता	bʱäːʋʊkt̪äː
भाषण	bʱäːʃə̃ɳ
भाषा	bʱäːʃäː
भाषाबोध	bʱäːʃäːboːd̪ʱ
भाषाविज्ञान	bʱäːʃäːʋɪɡjä̃ːn̪
भाषाविद्	bʱäːʃäːʋɪd̪
