тата	tˈata
çĕртме	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r t m jˈɛ
çапăçусем	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa p (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) ˈʊ s jˈæ m
çарсем	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r s jˈæ m
çемçе	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) jˈæ m (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) jˈɛ
çирĕплетсе	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p l jˈɛ t s jˈɛ
çуркунне	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ r k ˈʊ n n jˈɛ
çынран	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ n r ˈa n
çырнипе	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r n ˈɪ p jˈɛ
ăнăçу	(͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) ˈʊ
ăшĕнче	(͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
Аякри	ajˈakrɪ
Валерий	valˈɛɾɪj
Виталий	vitˈalɪj
Грузи	ɡrˈuzɪ
Еган	jˈeɡan
Кондома	kɔndˈoma
Крым	krˈɯm
Мĕнпур	m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n p ˈʊ r
Максим	mˈaksɪm
Олимп	ˈolɪmp
Паллах	pˈallax
Петровна	pɛtrˈɔvna
Под	pˈɔd
Сĕве	s (͡e͡n)ˌiːbɹˈiːv(͡c͡v) v jˈɛ
Симĕс	s ˈɪ m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s
Степанович	stˌɛpanˈovɪt͡ʃ
Сылтăм	s ˈɯ l t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m
Уйăх	ˈʊ j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
Уйрăмах	ˈʊ j r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m ˈa x
Унӑн	ˈunɯn
Чăннипе	t͡ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n n ˈɪ p jˈɛ
Чӑваш	t͡ʃˈɯvaʃ
Шупашкарта	ʃˌupaʃkˈarta
Юрибей	juɾˈibɛj
авал	ˈaval
айлăмĕнче	ˈa j l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
актёр	ˈaktjɔr
апата	apˈata
ар	ˈar
аталану	ˌatalˈanʊ
атом	ˈatɔm
ачана	at͡ʃˈana
ашшĕпе	ˈa ʃ ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p jˈɛ
библиотека	bˌɪbliotˈɛka
биологи	bˌiolˈoɡɪ
вăрманĕ	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r m ˈa n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
вĕри	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r ˈɪ
вĕсенче	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n t͡ʃ jˈɛ
варринчи	varrˈɪnt͡ʃɪ
генерал	ɡɛnˈɛɾal
географи	ɡˌɛɔɡrˈafɪ
диалект	diˈalɛkt
кăмăлне	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l n jˈɛ
кĕмĕл	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l
калаçнă	k ˈa l ˈa (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
капитанĕ	k ˈa p ˈɪ t ˈa n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
килекен	kilˈɛkɛn
килсен	kˈɪlsɛn
клубĕ	k l ˈʊ b (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
кӗрет	kˈɵɾɛt
кӳлмек	kˈølmɛk
кӳршĕ	k ˈø r ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
лартать	lˈartat
латин	lˈatɪn
мари	mˈaɾɪ
метра	mˈɛtra
монгол	mˈɔnɡɔl
нефть	nˈɛft
орденĕ	ˈɔ r d jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пăхăнса	p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n s ˈa
пĕрлĕхĕ	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пĕтсе	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t s jˈɛ
партин	pˈartɪn
питӗ	pˈitɵ
пичетленнĕ	p ˈɪ t͡ʃ jˈɛ t l jˈæ n n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
профессорĕ	p r ˈɔ f jˈɛ s s ˈɔ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пулнăран	p ˈʊ l n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ˈa n
пуррипе	pʊrrˈipɛ
пылаксăр	p ˈɯ l ˈa k s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
сăвăçи	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) ˈɪ
сăмахсем	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m ˈa x s jˈæ m
сарнă	s ˈa r n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
символĕ	s ˈɪ m v ˈɔ l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
системин	sɪstˈɛmɪn
старшина	starʃˈina
тăвĕсем	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
тăни	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈɪ
тĕлĕнче	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
тĕлте	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l t jˈɛ
тĕпчекен	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p t͡ʃ jˈɛ k jˈæ n
танка	tˈanka
тапхăрĕнчи	t ˈa p x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ ˈɪ
ташă	t ˈa ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тем	tˈɛm
туçи	t ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ
тупать	tˈupat
тухни	tˈʊxnɪ
тӗл	tˈɵl
уесĕн	ˈʊ jˈɛ s (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
уйрăмĕнче	ˈʊ j r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
уйрăмлăхĕ	ˈʊ j r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
университечĕ	ˈʊ n ˈɪ v jˈɛ r s ˈɪ t jˈɛ t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
упраса	ʊprˈasa
франс	frˈans
хăçан	x (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) ˈa n
хĕрне	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r n jˈɛ
хатĕрлеме	x ˈa t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l jˈæ m jˈɛ
хуçалăхĕ	x ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
хуласене	xˌulasˈɛnɛ
хутлă	x ˈʊ t l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
чылаях	t͡ʃɯlˈajax
чӑваш	t͡ʃˈɯvaʃ
шăмми	ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m m ˈɪ
шĕвек	ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) v jˈɛ k
шурлăхлă	ʃ ˈʊ r l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
шухăшĕпе	ʃ ˈʊ x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p jˈɛ
шывĕпе	ʃ ˈɯ v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p jˈɛ
энциклопедия	ˌænt͡sɪklˌopɛdˈija
юрăхлă	jˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
ютçĕр	jˈʊ t (͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r
юханшывĕн	jˈʊ x ˈa n ʃ ˈɯ v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
ялхуçалăх	jˈa l x ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
ӳкнĕ	ˈø k n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Çырма	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r m ˈa
çĕрĕн	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
çирĕм	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) m
çирĕплетме	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p l jˈɛ t m jˈɛ
çулĕсем	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
çуртĕнче	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ r t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
çути	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ t ˈɪ
çынăн	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
çырми	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r m ˈɪ
çырни	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r n ˈɪ
ĕмĕрсенчи	(͡e͡n)ˌiːbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r s jˈæ n t͡ʃ ˈɪ
Атăлăн	ˈa t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
Висанти	visˈantɪ
Волков	vˈɔlkɔv
Германире	ɡˌɛrmanˈiɾɛ
Граждан	ɡrˈaʒdan
Греци	ɡrˈɛt͡sɪ
Дмитриевич	dmˌɪtriˈɛvɪt͡ʃ
Египет	jeɡˈipɛt
Игорь	ˈiɡɔr
Иосиф	iˈosɪf
Конда	kˈɔnda
Латви	lˈatvɪ
Надежда	nadˈɛʒda
Одесса	odˈɛssa
Роберт	rˈobɛrt
Сад	sˈad
Салым	sˈalɯm
Сталин	stˈalɪn
Тăршшĕ	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ʃ ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Уильям	uˈɪljam
Унтах	ˈʊntax
Чапаев	t͡ʃapˈaɛv
Япони	japˈonɪ
арăмĕпе	ˈa r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p jˈɛ
аресленĕ	ˈa r jˈɛ s l jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
ашшĕн	ˈa ʃ ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
балет	bˈalɛt
вăрçин	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ n
вĕлерме	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l jˈɛ r m jˈɛ
вĕрентме	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈæ n t m jˈɛ
вĕрентӳ	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈæ n t ˈø
вĕтĕ	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
вулавăш	v ˈʊ l ˈa v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ
вырăнĕсем	v ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
грексен	ɡrˈɛksɛn
гуманитари	ɡˌumanitˈaɾɪ
департаменчӗ	dˌɛpartamˈɛnt͡ʃɵ
дивизионĕн	d ˈɪ v ˈɪ z ˈɪ ˈɔ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
директор	diɾˈɛktɔr
журналист	ʒʊrnˈalɪst
звено	zvˈɛnɔ
илни	ˈɪlnɪ
имĕш	ˈɪ m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ
историне	ˌɪstoɾˈinɛ
историпе	ˌɪstoɾˈipɛ
йĕрке	j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r k jˈɛ
йыш	jˈɯʃ
йышĕнчи	j ˈɯ ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ ˈɪ
кĕл	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l
кĕнекесем	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n jˈɛ k jˈɛ s jˈæ m
кĕриччен	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r ˈɪ t͡ʃ t͡ʃ jˈæ n
кĕтеслĕ	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t jˈɛ s l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
калăпăшĕ	k ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
кас	kˈas
климат	klˈimat
кнеç	k n jˈɛ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v)
композитор	kˌɔmpozˈitɔr
кунтан	kˈʊntan
курни	kˈʊrnɪ
кӳрет	kˈyɾɛt
лăпкă	l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) p k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
мана	mˈana
механика	mˌɛxanˈika
орган	ˈɔrɡan
пăхăр	p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
пăхнă	p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
пĕрех	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈɛ x
пĕрмай	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r m ˈa j
пĕтерме	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t jˈɛ r m jˈɛ
пĕтерсен	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t jˈɛ r s jˈæ n
пай	pˈaj
парнине	parnˈinɛ
партийĕ	p ˈa r t ˈɪ j (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
паттăрĕ	p ˈa t t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пичĕ	p ˈɪ t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
планета	planˈɛta
пуçĕнчен	p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈæ n
пуçтарма	p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) t ˈa r m ˈa
пулăмсене	p ˈʊ l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m s jˈæ n jˈɛ
пулемётчикĕ	p ˈʊ l jˈæ m jˈɔ t t͡ʃ ˈɪ k (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пултараймасть	pˌʊltaɾˈajmast
пултаракан	pˌʊltaɾˈakan
пуль	pˈʊl
пурнăçри	p ˈʊ r n (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) r ˈɪ
пусăм	p ˈʊ s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m
пынӑ	pˈɯnɯ
республикăра	r jˈɛ s p ˈʊ b l ˈɪ k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ˈa
республики	rˌɛspʊblˈikɪ
сăмахĕ	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m ˈa x (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
сăнарĕсене	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n jˈɛ
сăнарне	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa r n jˈɛ
сăртлă	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r t l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
сĕтел	s (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t jˈæ l
сарăлать	s ˈa r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l ˈa t
суд	sˈʊd
суйлав	sˈʊjlav
сывлăх	s ˈɯ v l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
тăсăлăвĕ	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
тăсăлнă	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тĕрмене	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r m jˈæ n jˈɛ
тапăнакан	t ˈa p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa k ˈa n
тапхăрĕн	t ˈa p x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
тапхăра	t ˈa p x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ˈa
тарать	tˈaɾat
тен	tˈɛn
трактор	trˈaktɔr
тултарнă	t ˈʊ l t ˈa r n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
туптанă	t ˈʊ p t ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
туслă	t ˈʊ s l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тухтăр	t ˈʊ x t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
уçăлнă	ˈʊ (͡e͡n)sˌiːsədˈɪlɐ ˌe͡ɪbɹˈiːv(͡c͡v) l n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
уйăрнă	ˈʊ j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
унчен	ˈʊnt͡ʃɛn
упа	ˈupa
ур	ˈʊr
ушкăнĕсем	ˈʊ ʃ k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
факультетĕнче	f ˈa k ˈʊ l t jˈɛ t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
хăват	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa t
хăна	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa
хăтланнă	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t l ˈa n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
хайхи	xˈajxɪ
хисепĕ	x ˈɪ s jˈɛ p (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
хитре	xˈɪtrɛ
хутшăнаççĕ	x ˈʊ t ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
хыпарсем	xɯpˈarsɛm
чăвашсемпе	t͡ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa ʃ s jˈæ m p jˈɛ
чĕлхиллĕ	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l x ˈɪ l l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
чакнă	t͡ʃ ˈa k n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
шăллĕ	ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
шайра	ʃˈajra
штурманĕ	ʃ t ˈʊ r m ˈa n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
ыйту	ˈɯjtʊ
эрехĕ	ˈɛ r jˈɛ x (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
эрне	ˈɛrnɛ
эстрада	ɛstrˈada
юман	jˈuman
юрăçи	jˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) ˈɪ
юхăмĕ	jˈʊ x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
юхăмĕн	jˈʊ x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
яланхилле	jˌalanxˈɪllɛ
ӳстернĕ	ˈø s t jˈɛ r n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
V	(͡e͡n)vˈiː(͡c͡v)
XIII	(͡e͡n)ˈɛks ˈa͡ɪ ˈa͡ɪ ˈa͡ɪ(͡c͡v)
de	(͡e͡n)dˈiː ˈiː(͡c͡v)
Çывăх	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
çĕкленĕ	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) k l jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
çĕмĕрнĕ	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
çĕршывсенче	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r ʃ ˈɯ v s jˈæ n t͡ʃ jˈɛ
çапăçусенче	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa p (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) ˈʊ s jˈæ n t͡ʃ jˈɛ
çарĕнче	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
çемьере	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) jˈæ m jˈɛ r jˈɛ
çитĕннĕ	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
çитерет	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ t jˈɛ r jˈɛ t
çукки	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ k k ˈɪ
çулĕн	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
çулчен	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l t͡ʃ jˈæ n
çурлан	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ r l ˈa n
çыравçăсен	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r ˈa v (͡e͡n)sˌiːsədˈɪlɐ ˌe͡ɪbɹˈiːv(͡c͡v) s jˈæ n
çӳллĕш	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈø l l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ
ăрачĕ	(͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ˈa t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
ăс	(͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s
ăстисем	(͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s t ˈɪ s jˈæ m
ĕçлев	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) l jˈɛ v
Александров	ˌalɛksˈandrɔv
Амур	ˈamʊr
Африка	afrˈika
Барда	bˈarda
Бах	bˈax
Вăхăт	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t
Валентина	vˌalɛntˈina
Вырăсла	v ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s l ˈa
Гай	ɡˈaj
Григорьев	ɡriɡˈɔrʲɛv
Джордж	dʒˈɔrdʒ
Егоров	jeɡˈoɾɔv
Елизавета	jˌelizavˈɛta
Елчĕк	jˈæ l t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) k
Енре	jˈænrɛ
Зеланди	zɛlˈandɪ
